PROGRAM,mtype,msize,mlevel,nsize,fmin,df,chisq,rmr,srmr,gfi,agfi,rmsea,cfi,nnfi,nfi,gamma,npar
SAS,CFA,small,LV1,100,0.0719654,2,7.1245773,0.0341537,0.0331641,0.9653218,0.8266092,0.1383241,0.97206,0.9185514,0.9632436,0.981225663,8
SAS,CFA,small,LV1,200,0.0634776,2,12.6320371,0.0331957,0.0319954,0.9682859,0.8414297,0.1535783,0.9719419,0.9159214,0.9671937,0.9769572,8
SAS,CFA,small,LV1,500,0.0579369,2,28.9104916,0.0324014,0.0310096,0.9704628,0.8523142,0.1604098,0.971807,0.915421,0.9698956,0.974914187,8
SAS,CFA,small,LV1,1000,0.0548613,2,54.8064475,0.0318449,0.030427,0.971786,0.8589299,0.160807,0.9723168,0.9169503,0.971357,0.974792935,8
SAS,CFA,big,LV1,100,1.1773811,85,116.5607268,0.081762,0.0711207,0.8729981,0.8207031,0.0581875,0.961195,0.952238,0.8724242,0.963045784,35
SAS,CFA,big,LV1,200,0.6908063,85,137.4704515,0.0707474,0.0599747,0.918954,0.8855821,0.0546615,0.9675286,0.9598955,0.9198977,0.967246485,35
SAS,CFA,big,LV1,500,0.418526,85,208.8444648,0.063333,0.052218,0.9485672,0.927389,0.0537379,0.9693637,0.9621551,0.9496071,0.968309207,35
SAS,CFA,big,LV1,1000,0.3302901,85,329.9597617,0.0606183,0.0493217,0.9588187,0.9418617,0.0535782,0.9697581,0.9626424,0.9597785,0.96849136,35
SAS,SEM,small,LV1,100,0.1206153,5,11.9409174,0.4873619,0.0509488,0.9625121,0.8425509,0.1049227,0.9712768,0.9161086,0.9544115,0.981982627,16
SAS,SEM,small,LV1,200,0.0977383,5,19.449926,0.4682191,0.0478801,0.9684768,0.8676026,0.1140126,0.9710695,0.9133567,0.9622094,0.978794622,16
SAS,SEM,small,LV1,500,0.0816665,5,40.7515727,0.4536816,0.0457679,0.9729629,0.8864441,0.1176574,0.9714838,0.9144513,0.9678741,0.977448211,16
SAS,SEM,small,LV1,1000,0.0770251,5,76.9481193,0.4523168,0.0452694,0.9742824,0.8919861,0.1189947,0.9714855,0.9144564,0.969682,0.976944535,16
SAS,SEM,big,LV1,100,0.7040727,48,69.7031939,5.9805754,0.03401,0.8972229,0.8329872,0.0630627,0.9831167,0.9768981,0.9484849,0.969165765,30
SAS,SEM,big,LV1,200,0.4422394,48,88.0056355,4.9786338,0.0285348,0.9297185,0.8857926,0.0631087,0.9845615,0.9787744,0.9668408,0.969122155,30
SAS,SEM,big,LV1,500,0.2874025,48,143.4138681,4.208418,0.0243556,0.9513139,0.920885,0.0626682,0.9853054,0.979795,0.9781369,0.969538622,30
SAS,SEM,big,LV1,1000,0.2375008,48,237.2632806,3.9623433,0.0229789,0.9584934,0.9325518,0.0626174,0.9854655,0.9800151,0.9818714,0.969586486,30
SAS,CFA,small,LV2,100,0.1813492,3,17.953566,0.1404616,0.1205868,0.9257556,0.7525187,0.2155132,0.9211147,0.8423337,0.9079494,0.934868716,7
SAS,CFA,small,LV2,200,0.1693015,3,33.6909926,0.1397608,0.1199942,0.9292273,0.764091,0.2230419,0.9194655,0.8389309,0.9128968,0.930560173,7
SAS,CFA,small,LV2,500,0.1604974,3,80.0882074,0.1391157,0.1194305,0.9320679,0.7735596,0.2255187,0.9193082,0.8386163,0.9166817,0.929119321,7
SAS,CFA,small,LV2,1000,0.1559527,3,155.7967782,0.1384518,0.1189839,0.9336547,0.7788489,0.2251435,0.9199622,0.8399245,0.9186435,0.929338324,7
SAS,CFA,big,LV2,100,1.3949548,86,138.1005269,0.0902179,0.0780184,0.8532221,0.7951936,0.076768,0.9359522,0.9218021,0.8488854,0.936700758,34
SAS,CFA,big,LV2,200,0.9005929,86,179.2179783,0.0800301,0.0678495,0.8971205,0.8564472,0.073243,0.9422833,0.9295319,0.8956129,0.942051263,34
